id,wine,winery,rating_average,rating_reviews,location_nation,location_region,image,category
124,"Kayli Morgan Vineyard Cabernet Sauvignon 2013","Hundred Acre",4.8,150 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/ZOn7KuOhTCap7hb74ucQVA_pb_x300.png,reds
125,"Batonnage (Red Scorpion) 2011","Scheiblhofer",4.8,148 ratings,"Austria","Niederösterreich",https://images.vivino.com/thumbs/bI-uSdfMSXiG3UTJz6BeuA_pb_x300.png,reds
126,"Cabernet Sauvignon 2007","Scarecrow",4.8,146 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/pU7uFKR-TAKAOQaf3Hpn2A_pb_x300.png,reds
127,"Cobos Volturno 2016","Viña Cobos",4.8,145 ratings,"Argentina","Perdriel",https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x300.png,reds
128,"La Tâche Grand Cru 1989","Domaine de La Romanée-Conti",4.8,145 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
129,"Red Blend 2012","Ovid",4.8,145 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/ezwBiGBKSLGNdUHBaLxKng_pb_x300.png,reds
130,"Unico Reserva Especial Edición 2013","Vega Sicilia",4.8,144 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
131,"La Tâche Grand Cru 2008","Domaine de La Romanée-Conti",4.8,139 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
132,"Grands-Échezeaux Grand Cru 2010","Domaine de La Romanée-Conti",4.8,139 ratings,"France","Grands-Échezeaux Grand Cru",https://images.vivino.com/thumbs/_JpKqg8USl6fLDvV6uZ3uA_pb_x300.png,reds
133,"Richebourg Grand Cru 2011","Domaine de La Romanée-Conti",4.8,138 ratings,"France","Richebourg Grand Cru",https://images.vivino.com/thumbs/cohA0QIVTGmupg938tBbbQ_pb_x300.png,reds
134,"IX Estate Red 2010","Colgin",4.8,138 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/6QbrD6OwQMuOmSCBxo5C2g_pb_x300.png,reds
135,"Ark Vineyard Cabernet Sauvignon 2007","Hundred Acre",4.8,134 ratings,"United States","Howell Mountain",https://images.vivino.com/thumbs/TQLu4uY6RuC0bW8QHDeIPw_pb_x300.png,reds
136,"La Mattonara Amarone della Valpolicella Classico Riserva 2003","Zýmē",4.8,133 ratings,"Italy","Amarone della Valpolicella Classico",https://images.vivino.com/thumbs/mmxlvL67TWKI4iJfDkomcA_pb_x300.png,reds
